id,movie_id,provider_name
1092,114150,Watcha
1093,332210,Watcha
1094,58224,Disney Plus
1095,636291,Watcha
1096,437109,wavve
1097,472516,Watcha
1098,767504,Amazon Prime Video
1099,249660,Watcha
1100,489,Watcha
1101,2503,wavve
1102,640793,Watcha
1103,414,wavve
1104,810873,Netflix
1105,197,Disney Plus
1106,110420,Watcha
1107,483455,Watcha
1108,228967,Netflix
1109,38579,Amazon Prime Video
1110,9335,Disney Plus
1111,2383,Watcha
1112,10439,Disney Plus
1113,717192,Netflix
1114,8456,Watcha
1115,260372,Watcha
1116,41233,wavve
1117,547565,Disney Plus
1118,575774,Netflix
1119,670428,Watcha
1120,354282,wavve
1121,433,Disney Plus
1122,239523,Watcha
1123,633954,Netflix
1124,2251,Disney Plus
1125,726429,Netflix
1126,283984,Watcha
1127,4234,wavve
1128,458594,Watcha
1129,598331,wavve
1130,857910,Netflix
1131,302401,Watcha
1132,28874,Watcha
1133,68728,Disney Plus
1134,22538,wavve
1135,238615,Watcha
1136,458220,Apple TV Plus
1137,10528,Watcha
1138,10474,wavve
1139,692969,Netflix
1140,1949,Watcha
1141,10996,wavve
1142,9291,Watcha
1143,17979,Disney Plus
1144,274870,Netflix
1145,776909,Netflix
1146,360249,Watcha
1147,508763,Watcha
1148,109414,wavve
1149,449176,Disney Plus
1150,681429,Watcha
1151,121856,Netflix
1152,1924,wavve
1153,271969,Watcha
1154,193610,Disney Plus
1155,11238,Disney Plus
1156,22804,wavve
1157,181283,wavve
1158,103,Netflix
1159,395,Disney Plus
1160,443791,Disney Plus
1161,350312,Netflix
1162,718633,Netflix
1163,277,wavve
1164,871,Disney Plus
1165,59108,wavve
1166,399360,Watcha
1167,1735,Netflix
1168,589713,Watcha
1169,882098,Netflix
1170,17101,Netflix
1171,949,Amazon Prime Video
1172,809972,Netflix
1173,299687,Watcha
1174,5876,Watcha
1175,440471,Watcha
1176,929,Netflix
1177,34297,wavve
1178,741998,Netflix
1179,417384,Watcha
1180,122906,Watcha
1181,458253,Watcha
1182,1124,Watcha
1183,911071,Amazon Prime Video
1184,315837,Netflix
1185,15969,Disney Plus
1186,606856,Disney Plus
1187,324542,Watcha
1188,16859,Netflix
1189,207,Disney Plus
1190,399361,Netflix
1191,356305,Disney Plus
1192,4922,Watcha
1193,10947,Disney Plus
1194,9509,Watcha
1195,9679,Disney Plus
1196,6795,Watcha
1197,44728,wavve
1198,796428,Amazon Prime Video
1199,666624,Netflix
1200,128,Netflix
1201,855,Watcha
1202,258509,Disney Plus
1203,45772,Disney Plus
1204,679,Disney Plus
1205,9603,Netflix
1206,399055,Disney Plus
1207,9837,Netflix
1208,409421,Netflix
1209,121734,Watcha
1210,17111,Watcha
1211,136400,Netflix
1212,785533,Netflix
1213,601980,Watcha
1214,86834,Watcha
1215,567748,Netflix
1216,1452,wavve
1217,7451,Watcha
1218,499028,Watcha
1219,9334,Netflix
1220,13205,Disney Plus
1221,340837,Netflix
